28,-2,3,0,13.5,6.5,0
58.5,7,3,0,5,3.5,0
58.5,7,0,0,4,2.5,0
18.5,-2,0,0,6,5.5,0
43.5,-3,0,0,19,7.5,0
60,-10.5,1.5,1,2.5,1.5,0
62.5,-0.5,1.5,2,10,1.5,0
58.5,9.5,1.5,1,4,1.5,0
54.5,7,1.5,2,2.5,1.5,0
46.5,1.5,1.5,1,10,1.5,0
16.5,-7.5,1.5,1,4,1.5,0
12.5,-2,1.5,2,5.5,1.5,0
18.5,3.5,1.5,1,6,1.5,0
31.5,-4.5,1.5,1,5,1.5,0
21.5,-1.5,1.5,1,3,1.5,0
58.5,4.5,1.5,1,4,1.5,1
29.5,-2,1.5,2,2.5,1.5,1
28.5,-2,1.5,2,2.5,1.5,1
27.5,0.5,1.5,1,5,1.5,1
26,-7.5,1.5,1,5.5,1.5,1
16.5,-2,1.5,2,3.5,1.5,1
