57,4,1.5,1,22.5,1.5,0
66.473684,-4,1.5,1,1.184211,1.5,0
67.657895,-0.218245,1.5,2,2.386609,1.5,0
66.473684,0,1.5,1,1.184211,1.5,0
65.289474,2,1.5,2,2,1.5,0
36.868421,1.333333,1.5,2,2.666667,1.5,0
43.973684,-4,1.5,1,2.368421,1.5,0
46.342105,1.333333,1.5,2,2.666667,1.5,0
41.605263,1.333333,1.5,2,2.666667,1.5,0
43.973684,1.016679,1.5,1,2.368421,1.5,0
63.789474,2.702038,1.5,1,1.5,1.5,0
57,0,0,0,22.5,4,0
40.421053,0,3,0,5.921053,4,0
70.026316,0,3,0,9.473684,4,0
62.921053,-4,1.5,1,2.368421,1.5,1
71.210526,-4,1.5,1,3.552632,1.5,1
74.763158,0,1.5,2,4,1.5,1
60.552632,0,1.5,2,4,1.5,1
36.868421,-2.666667,1.5,2,1.333333,1.5,1
39.236842,-4,1.5,1,2.368421,1.5,1
46.342105,-2.666667,1.5,2,1.333333,1.5,1
