38.5,-10.5,3,0,6,14,0
32,21,3,0,4.5,5.5,0
30.5,21,0,0,2,4.5,0
38.5,-19.5,0,0,5,7,0
40.5,6.5,0,0,8,19,0
48.5,22,1.5,2,3.5,1.5,0
38.5,25.5,1.5,1,10,1.5,0
28.5,21,1.5,2,4.5,1.5,0
30.5,16.5,1.5,1,2,1.5,0
34.5,10.5,1.5,2,9,1.5,0
43.5,-22,1.5,2,4.5,1.5,0
38.5,-26.5,1.5,1,5,1.5,0
33.5,-19.5,1.5,2,7,1.5,0
40.5,-5,1.5,2,5.5,1.5,0
37.5,-15,1.5,2,2.5,1.5,0
32.5,21,1.5,2,4.5,1.5,1
38,-7.5,1.5,1,2.5,1.5,1
38,-8.5,1.5,1,2.5,1.5,1
35.5,-9,1.5,2,6.5,1.5,1
43.5,-11.5,1.5,2,6,1.5,1
39,-20.5,1.5,1,3.5,1.5,1
