57,3,1.5,1,20,1.5,0
46.473684,-3,1.5,1,1.052632,1.5,0
45.421053,-0.008441,1.5,2,1.700784,1.5,0
46.473684,-1,1.5,1,1.052632,1.5,0
47.526316,1,1.5,2,2,1.5,0
77,1,1.5,2,2,1.5,0
66.473684,-3,1.5,1,2.105263,1.5,0
64.368421,1,1.5,2,2,1.5,0
68.578947,1,1.5,2,2,1.5,0
66.473684,-0.005854,1.5,1,2.105263,1.5,0
49.526316,2.059679,1.5,1,2,1.5,0
57,0,0,0,20,3,0
70.684211,0,3,0,6.315789,3,0
45.421053,0,3,0,8.421053,3,0
50.684211,-3,1.5,1,3.157895,1.5,1
43.315789,-3,1.5,1,2.105263,1.5,1
41.210526,0,1.5,2,3,1.5,1
53.842105,0,1.5,2,3,1.5,1
77,-2,1.5,2,1,1.5,1
72.789474,-3,1.5,1,4.210526,1.5,1
64.368421,-2,1.5,2,1,1.5,1
