40,-11,3,0,5.5,11.5,0
32,19,3,0,5.5,6.5,0
31.5,19,0,0,3,4.5,0
40,-19.5,0,0,4.5,6,0
42,5,0,0,7.5,18.5,0
49.5,21,1.5,2,2.5,1.5,0
39,23.5,1.5,1,10.5,1.5,0
28.5,19,1.5,2,4.5,1.5,0
31.5,14.5,1.5,1,3,1.5,0
36.5,6.5,1.5,2,10,1.5,0
44.5,-21.5,1.5,2,4,1.5,0
40,-25.5,1.5,1,4.5,1.5,0
35.5,-19.5,1.5,2,6,1.5,0
41.5,-6.5,1.5,2,5,1.5,0
39.5,-18,1.5,2,3.5,1.5,0
34.5,19,1.5,2,4.5,1.5,1
39.5,-9.5,1.5,1,2,1.5,1
39.5,-10.5,1.5,1,2,1.5,1
37.5,-9.5,1.5,2,5,1.5,1
44.5,-12.5,1.5,2,5,1.5,1
40.5,-21.5,1.5,1,4,1.5,1
